'voicing','zcr','gt'
0.57677,0.11461,1
0.48286,0.14183,1
0.52443,0.18195,1
0.52098,0.22063,1
0.46419,0.25645,1
0.45963,0.28367,1
0.50632,0.2808,1
0.53795,0.28797,1
0.66334,0.28653,1
0.74176,0.26504,1
0.71586,0.26648,1
0.69822,0.27221,1
0.61714,0.25931,1
0.61629,0.23209,1
0.67542,0.21203,1
0.76249,0.19914,1
0.64659,0.19198,1
0.6546,0.18195,1
0.75925,0.17622,1
0.84795,0.17049,1
0.89403,0.17049,1
0.91889,0.17049,1
0.90205,0.17479,1
0.90476,0.17335,1
0.91652,0.16905,1
0.81692,0.16046,1
0.83988,0.15043,1
0.90561,0.14756,1
0.91332,0.149,1
0.84491,0.14756,1
0.85312,0.1533,1
0.8097,0.15473,1
0.76631,0.15903,1
0.73833,0.15616,1
0.83323,0.15473,1
0.939,0.149,1
0.94895,0.15186,1
0.85002,0.149,1
0.7026,0.16046,1
0.65069,0.15903,1
0.81864,0.15043,1
0.8891,0.149,1
0.8245,0.1447,1
0.67232,0.1447,1
0.7003,0.14613,1
0.78795,0.14756,1
0.79926,0.1447,1
0.84936,0.1404,1
0.8463,0.13324,1
0.83924,0.12178,1
0.81867,0.11032,1
0.87489,0.10458,1
0.91052,0.10458,1
0.90519,0.10458,1
0.90688,0.10315,1
0.84591,0.10458,1
0.84355,0.10888,1
0.88375,0.10888,1
0.83959,0.10172,1
0.86418,0.10315,1
0.86113,0.10315,1
0.82786,0.10172,1
0.79599,0.10458,1
0.74244,0.10458,1
0.73129,0.10029,1
0.76488,0.093123,1
0.83942,0.090258,1
0.79058,0.094556,1
0.66551,0.10172,1
0.60448,0.10315,1
0.55108,0.10458,1
0.49178,0.094556,1
0.74701,0.091691,1
0.86544,0.083095,1
0.80686,0.088825,1
0.62953,0.093123,1
0.66798,0.091691,1
0.8571,0.080229,1
0.90234,0.077364,1
0.8714,0.077364,1
0.86021,0.077364,1
0.90324,0.077364,1
0.93293,0.077364,1
0.92948,0.077364,1
0.86209,0.083095,1
0.75647,0.083095,1
0.80761,0.078797,1
0.80034,0.077364,1
0.84099,0.077364,1
0.88777,0.077364,1
0.94476,0.077364,1
0.95876,0.077364,1
0.94116,0.077364,1
0.9593,0.077364,1
0.95274,0.077364,1
0.96059,0.077364,1
0.97396,0.077364,1
0.96289,0.077364,1
0.93505,0.077364,1
0.912,0.077364,1
0.88621,0.077364,1
0.90504,0.077364,1
0.93214,0.077364,1
0.93862,0.077364,1
0.9546,0.077364,1
0.96832,0.077364,1
0.96416,0.075931,1
0.94019,0.077364,1
0.87546,0.080229,1
0.82255,0.084527,1
0.82707,0.088825,1
0.72838,0.094556,1
0.67477,0.094556,1
0.72464,0.090258,1
0.43987,0.10172,1
0.59083,0.095989,1
0.67953,0.087393,1
0.46947,0.10029,1
0.26375,0.10602,1
0.67129,0.090258,1
0.87083,0.078797,1
0.88663,0.078797,1
0.79277,0.080229,1
0.75816,0.077364,1
0.81499,0.083095,1
0.8068,0.081662,1
0.91125,0.078797,1
0.92265,0.080229,1
0.77245,0.091691,1
0.41709,0.10172,1
0.4789,0.11175,1
0.38209,0.15473,1
0.28732,0.27364,1
0.30262,0.38682,1
0.17904,0.46562,1
0.19554,0.48424,1
0.28027,0.41117,1
0.42867,0.29513,1
0.45423,0.26218,1
0.40021,0.26218,1
0.36406,0.25931,1
0.34294,0.27221,1
0.26235,0.24642,1
0.38404,0.2192,1
0.47548,0.2063,1
0.39507,0.19341,1
0.32758,0.19198,1
0.40184,0.19914,1
0.4157,0.2192,1
0.37928,0.2149,1
0.29199,0.20487,1
0.35658,0.19054,1
0.35102,0.17192,1
0.31131,0.17765,1
0.48736,0.17622,1
0.51707,0.17622,1
0.47445,0.17908,1
0.52671,0.1533,1
0.52208,0.16332,1
0.39578,0.17765,1
0.38061,0.17335,1
0.36979,0.16476,1
0.41915,0.16046,1
0.49205,0.149,1
0.5435,0.149,1
0.47281,0.1404,1
0.38106,0.13682,1
0.49843,0.1404,1
0.47332,0.13467,1
0.42763,0.1361,1
0.39589,0.14183,1
0.43921,0.16619,1
0.45148,0.17192,1
0.53036,0.16046,1
0.51538,0.15903,1
0,0.16762,1
0.14705,0.26074,1
0.27111,0.31805,1
0.3314,0.31805,1
