0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.160997732426303879e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.321995464852607757e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.055224021975940119e-01 3.482993197278911462e-02
1.739882812500000000e+04 7.973691812775135986e+03 7.172311555129043882e+03 4.785156250000000000e-02 8.687223042836045295e-02 4.643990929705215515e-02
1.838935546875000000e+04 8.823932283820333396e+03 7.410828339933720599e+03 1.494140625000000000e-01 7.432432432432434233e-02 5.804988662131519567e-02
1.770029296875000000e+04 8.620566930198743648e+03 7.271576389392026613e+03 1.474609375000000000e-01 8.963822756926209667e-02 6.965986394557822925e-02
1.782949218750000000e+04 8.079149401638713243e+03 7.346159517104680162e+03 8.886718750000000000e-02 5.996670828131500652e-02 8.126984126984126977e-02
1.800175781250000000e+04 8.172896395308895080e+03 7.430214248921042781e+03 9.277343750000000000e-02 4.236050248320188949e-02 9.287981859410431029e-02
1.817402343750000000e+04 9.154039116472176829e+03 7.137788778335494499e+03 1.425781250000000000e-01 7.716853693559533323e-02 1.044897959183673508e-01
1.752802734375000000e+04 8.220459373748059079e+03 7.317409200301965029e+03 1.904296875000000000e-01 8.036352496681298252e-02 1.160997732426303913e-01
1.774335937500000000e+04 9.077858628346155456e+03 7.138173538286988332e+03 1.777343750000000000e-01 5.858868150514018325e-02 1.277097505668934319e-01
1.683896484375000000e+04 7.471590964368821005e+03 7.264352599457646647e+03 1.376953125000000000e-01 3.946033072652377349e-02 1.393197278911564585e-01
1.770029296875000000e+04 8.190626315719762715e+03 7.315345481279259729e+03 1.015625000000000000e-01 4.280265574233643733e-02 1.509297052154195129e-01
1.757109375000000000e+04 8.758418085302855616e+03 7.258869616193134789e+03 1.259765625000000000e-01 4.176267281105994211e-02 1.625396825396825395e-01
1.714042968750000000e+04 7.450965376761655534e+03 7.381209161579785359e+03 9.863281250000000000e-02 4.654994850669413875e-02 1.741496598639455939e-01
